Nr. of detectors, Nr. of user table parameter
1010    0
Det.no  Delta    Len2   Code     2theta
1        0.0   -1.8270    0     180.000
2        0.0    3.6000    0       0.001
3        0.0    1.0115    1     171.128
4        0.0    1.0041    1     170.826
5        0.0    1.0115    1     170.525
6        0.0    1.0041    1     170.223
7        0.0    1.0115    1     169.921
8        0.0    1.0041    1     169.619
9        0.0    1.0115    1     169.317
10       0.0    1.0041    1     169.015
11       0.0    1.0115    1     168.714
12       0.0    1.0041    1     168.412
13       0.0    1.0115    1     168.110
14       0.0    1.0041    1     167.808
15       0.0    1.0115    1     167.506
16       0.0    1.0041    1     167.204
17       0.0    1.0115    1     166.903
18       0.0    1.0041    1     166.601
19       0.0    1.0115    1     166.299
20       0.0    1.0041    1     165.997
21       0.0    1.0115    1     165.695
22       0.0    1.0041    1     165.393
23       0.0    1.0041    1     165.092
24       0.0    1.0041    1     165.092
25       0.0    1.0115    1     164.790
26       0.0    1.0115    1     164.790
27       0.0    1.0041    1     164.488
28       0.0    1.0041    1     164.488
29       0.0    1.0115    1     164.186
30       0.0    1.0115    1     164.186
31       0.0    1.0041    1     163.884
32       0.0    1.0041    1     163.884
33       0.0    1.0115    1     163.582
34       0.0    1.0115    1     163.582
35       0.0    1.0041    1     163.281
36       0.0    1.0041    1     163.281
37       0.0    1.0115    1     162.979
38       0.0    1.0115    1     162.979
39       0.0    1.0041    1     162.677
40       0.0    1.0041    1     162.677
41       0.0    1.0115    1     162.375
42       0.0    1.0115    1     162.375
43       0.0    1.0041    1     162.073
44       0.0    1.0041    1     162.073
45       0.0    1.0115    1     161.771
46       0.0    1.0115    1     161.771
47       0.0    1.0041    1     161.470
48       0.0    1.0041    1     161.470
49       0.0    1.0115    1     161.168
50       0.0    1.0115    1     161.168
51       0.0    1.0041    1     160.866
52       0.0    1.0041    1     160.866
53       0.0    1.0115    1     160.564
54       0.0    1.0115    1     160.564
55       0.0    1.0041    1     160.262
56       0.0    1.0041    1     160.262
57       0.0    1.0115    1     159.960
58       0.0    1.0115    1     159.960
59       0.0    1.0041    1     159.659
60       0.0    1.0041    1     159.659
61       0.0    1.0115    1     159.357
62       0.0    1.0115    1     159.357
63       0.0    1.0041    1     159.055
64       0.0    1.0041    1     159.055
65       0.0    1.0115    1     158.753
66       0.0    1.0115    1     158.753
67       0.0    1.0041    1     158.451
68       0.0    1.0041    1     158.451
69       0.0    1.0115    1     158.149
70       0.0    1.0115    1     158.149
71       0.0    1.0041    1     157.848
72       0.0    1.0041    1     157.848
73       0.0    1.0115    1     157.546
74       0.0    1.0115    1     157.546
75       0.0    1.0041    1     157.244
76       0.0    1.0041    1     157.244
77       0.0    1.0115    1     156.942
78       0.0    1.0115    1     156.942
79       0.0    1.0041    1     156.640
80       0.0    1.0041    1     156.640
81       0.0    1.0115    1     156.338
82       0.0    1.0115    1     156.338
83       0.0    1.0041    1     156.037
84       0.0    1.0041    1     156.037
85       0.0    1.0115    1     155.735
86       0.0    1.0115    1     155.735
87       0.0    1.0041    1     155.433
88       0.0    1.0041    1     155.433
89       0.0    1.0115    1     155.131
90       0.0    1.0115    1     155.131
91       0.0    1.0041    1     154.829
92       0.0    1.0041    1     154.829
93       0.0    1.0115    1     154.527
94       0.0    1.0115    1     154.527
95       0.0    1.0041    1     154.226
96       0.0    1.0041    1     154.226
97       0.0    1.0115    1     153.924
98       0.0    1.0115    1     153.924
99       0.0    1.0041    1     153.622
100      0.0    1.0041    1     153.622
101      0.0    1.0115    1     153.320
102      0.0    1.0115    1     153.320
103      0.0    1.0041    1     153.018
104      0.0    1.0041    1     153.018
105      0.0    1.0115    1     152.717
106      0.0    1.0115    1     152.717
107      0.0    1.0041    1     152.415
108      0.0    1.0041    1     152.415
109      0.0    1.0115    1     152.113
110      0.0    1.0115    1     152.113
111      0.0    1.0041    1     151.811
112      0.0    1.0041    1     151.811
113      0.0    1.0115    1     151.509
114      0.0    1.0115    1     151.509
115      0.0    1.0041    1     151.207
116      0.0    1.0041    1     151.207
117      0.0    1.0115    1     150.906
118      0.0    1.0115    1     150.906
119      0.0    1.0041    1     150.604
120      0.0    1.0041    1     150.604
121      0.0    1.0115    1     150.302
122      0.0    1.0115    1     150.302
123      0.0    1.0115    1     171.128
124      0.0    1.0041    1     170.826
125      0.0    1.0115    1     170.525
126      0.0    1.0041    1     170.223
127      0.0    1.0115    1     169.921
128      0.0    1.0041    1     169.619
129      0.0    1.0115    1     169.317
130      0.0    1.0041    1     169.015
131      0.0    1.0115    1     168.714
132      0.0    1.0041    1     168.412
133      0.0    1.0115    1     168.110
134      0.0    1.0041    1     167.808
135      0.0    1.0115    1     167.506
136      0.0    1.0041    1     167.204
137      0.0    1.0115    1     166.903
138      0.0    1.0041    1     166.601
139      0.0    1.0115    1     166.299
140      0.0    1.0041    1     165.997
141      0.0    1.0115    1     165.695
142      0.0    1.0041    1     165.393
143      0.0    1.0041    1     165.092
144      0.0    1.0041    1     165.092
145      0.0    1.0115    1     164.790
146      0.0    1.0115    1     164.790
147      0.0    1.0041    1     164.488
148      0.0    1.0041    1     164.488
149      0.0    1.0115    1     164.186
150      0.0    1.0115    1     164.186
151      0.0    1.0041    1     163.884
152      0.0    1.0041    1     163.884
153      0.0    1.0115    1     163.582
154      0.0    1.0115    1     163.582
155      0.0    1.0041    1     163.281
156      0.0    1.0041    1     163.281
157      0.0    1.0115    1     162.979
158      0.0    1.0115    1     162.979
159      0.0    1.0041    1     162.677
160      0.0    1.0041    1     162.677
161      0.0    1.0115    1     162.375
162      0.0    1.0115    1     162.375
163      0.0    1.0041    1     162.073
164      0.0    1.0041    1     162.073
165      0.0    1.0115    1     161.771
166      0.0    1.0115    1     161.771
167      0.0    1.0041    1     161.470
168      0.0    1.0041    1     161.470
169      0.0    1.0115    1     161.168
170      0.0    1.0115    1     161.168
171      0.0    1.0041    1     160.866
172      0.0    1.0041    1     160.866
173      0.0    1.0115    1     160.564
174      0.0    1.0115    1     160.564
175      0.0    1.0041    1     160.262
176      0.0    1.0041    1     160.262
177      0.0    1.0115    1     159.960
178      0.0    1.0115    1     159.960
179      0.0    1.0041    1     159.659
180      0.0    1.0041    1     159.659
181      0.0    1.0115    1     159.357
182      0.0    1.0115    1     159.357
183      0.0    1.0041    1     159.055
184      0.0    1.0041    1     159.055
185      0.0    1.0115    1     158.753
